x y Re(psi) Im(psi)
-3.590551181102362044e+00 -8.000000000000000000e+00 2.911765955131129459e-07 2.958192707624869990e-07
-3.464566929133858331e+00 -8.000000000000000000e+00 3.188874263644492651e-07 3.239719379076750475e-07
-3.338582677165354617e+00 -8.000000000000000000e+00 3.482777593790319075e-07 3.538308860992251159e-07
-3.212598425196850016e+00 -8.000000000000000000e+00 3.793160835970734881e-07 3.853641019177558090e-07
-3.086614173228346303e+00 -8.000000000000000000e+00 4.119493668503296087e-07 4.185177076602601824e-07
-2.960629921259842590e+00 -8.000000000000000000e+00 4.461015695646881510e-07 4.532144513440290680e-07
-2.834645669291338876e+00 -8.000000000000000000e+00 4.816720660469618108e-07 4.893521028109099826e-07
-2.708661417322835163e+00 -8.000000000000000000e+00 5.185347778870955302e-07 5.268025733910669544e-07
-2.582677165354330562e+00 -8.000000000000000000e+00 5.565372456459857509e-07 5.654109727739486259e-07
-2.456692913385826849e+00 -8.000000000000000000e+00 5.955006554900030533e-07 6.049956360240397244e-07
-2.330708661417323135e+00 -8.000000000000000000e+00 6.352197805480532288e-07 6.453480640204399208e-07
-2.204724409448818534e+00 -8.000000000000000000e+00 6.754641475527864034e-07 6.862341086809274012e-07
-2.078740157480314821e+00 -8.000000000000000000e+00 7.159789964415311113e-07 7.273949479570467536e-07
-1.952755905511811108e+00 -8.000000000000000000e+00 7.564877735200897584e-07 7.685496186213000702e-07
-1.826771653543307394e+00 -8.000000000000000000e+00 7.966941349796079335e-07 8.093970517802040905e-07
-1.700787401574803681e+00 -8.000000000000000000e+00 8.362858687235939087e-07 8.496200572421332639e-07
-1.574803149606299080e+00 -8.000000000000000000e+00 8.749377864041384118e-07 8.888882617796699578e-07
-1.448818897637795367e+00 -8.000000000000000000e+00 9.123170977632276238e-07 9.268635688313502928e-07
-1.322834645669291653e+00 -8.000000000000000000e+00 9.480867825689954292e-07 9.632035846047953152e-07
-1.196850393700787052e+00 -8.000000000000000000e+00 9.819124348777438978e-07 9.975685711650752960e-07
-1.070866141732283339e+00 -8.000000000000000000e+00 1.013465319216244754e-06 1.029624551557597206e-06
-9.448818897637796255e-01 -8.000000000000000000e+00 1.042430944166349629e-06 1.059052019884168634e-06
-8.188976377952759123e-01 -8.000000000000000000e+00 1.068510228757287964e-06 1.085547126525314885e-06
-6.929133858267721990e-01 -8.000000000000000000e+00 1.091431159646153256e-06 1.108833520917001383e-06
-5.669291338582675976e-01 -8.000000000000000000e+00 1.110944175568801760e-06 1.128657662868383722e-06
-4.409448818897638844e-01 -8.000000000000000000e+00 1.126844449578111146e-06 1.144811459279582273e-06
-3.149606299212601712e-01 -8.000000000000000000e+00 1.138956936484026263e-06 1.157117074260578253e-06
-1.889763779527555698e-01 -8.000000000000000000e+00 1.147324918281419264e-06 1.165618479592888248e-06
-6.299212598425185661e-02 -8.000000000000000000e+00 1.152033265417976678e-06 1.170401899082185123e-06
6.299212598425185661e-02 -8.000000000000000000e+00 1.152114895508986843e-06 1.170484830715435666e-06
1.889763779527555698e-01 -8.000000000000000000e+00 1.147568724951363347e-06 1.165866173617637510e-06
3.149606299212592830e-01 -8.000000000000000000e+00 1.139360314524369173e-06 1.157526884161024393e-06
4.409448818897629963e-01 -8.000000000000000000e+00 1.127403207223524038e-06 1.145379126214996400e-06
5.669291338582667095e-01 -8.000000000000000000e+00 1.111652484162664091e-06 1.129377265310664101e-06
6.929133858267721990e-01 -8.000000000000000000e+00 1.092281716326344922e-06 1.109697639600261071e-06
8.188976377952759123e-01 -8.000000000000000000e+00 1.069494378896743011e-06 1.086546968731008503e-06
9.448818897637796255e-01 -8.000000000000000000e+00 1.043538848754127557e-06 1.060177589798633852e-06
1.070866141732283339e+00 -8.000000000000000000e+00 1.014686120673507709e-06 1.030864818365801993e-06
1.196850393700787052e+00 -8.000000000000000000e+00 9.832344495012727111e-07 9.989116649806560379e-07
1.322834645669290765e+00 -8.000000000000000000e+00 9.494976915772992896e-07 9.646369901712357314e-07
1.448818897637794478e+00 -8.000000000000000000e+00 9.138041499970058009e-07 9.283743317019784840e-07
1.574803149606299968e+00 -8.000000000000000000e+00 8.764879938370968878e-07 8.904631868049464848e-07
1.700787401574803681e+00 -8.000000000000000000e+00 8.378862020221715979e-07 8.512459074097832949e-07
1.826771653543307394e+00 -8.000000000000000000e+00 7.983317053925964557e-07 8.110607327564118764e-07
1.952755905511811108e+00 -8.000000000000000000e+00 7.581500055768269101e-07 7.702383544952435993e-07
2.078740157480314821e+00 -8.000000000000000000e+00 7.176537817606845837e-07 7.290964372418585350e-07
2.204724409448818534e+00 -8.000000000000000000e+00 6.771399831504306477e-07 6.879366649676642297e-07
2.330708661417322247e+00 -8.000000000000000000e+00 6.368858847523449661e-07 6.470407337006500511e-07
2.456692913385825960e+00 -8.000000000000000000e+00 5.971470650922125770e-07 6.066682970705164808e-07
2.582677165354329674e+00 -8.000000000000000000e+00 5.581548896886774430e-07 5.670544095760905510e-07
2.708661417322835163e+00 -8.000000000000000000e+00 5.201155318851555869e-07 5.284085319296345644e-07
2.834645669291338876e+00 -8.000000000000000000e+00 4.832087840436137065e-07 4.909133231769305486e-07
2.960629921259842590e+00 -8.000000000000000000e+00 4.475880980732193103e-07 4.547246819460305298e-07
3.086614173228346303e+00 -8.000000000000000000e+00 4.133805396160086908e-07 4.199716999071477658e-07
3.212598425196850016e+00 -8.000000000000000000e+00 3.806877014214732991e-07 3.867575896110310321e-07
