x y Re(psi) Im(psi)
6.299212598425185661e-02 -8.000000000000000000e+00 -2.298079570981505476e-04 1.401456161615627057e-03
1.889763779527555698e-01 -8.000000000000000000e+00 -4.833065020258598180e-04 1.519449342529665195e-03
3.149606299212592830e-01 -8.000000000000000000e+00 -7.355184359272719284e-04 1.635084556043233349e-03
4.409448818897629963e-01 -8.000000000000000000e+00 -9.853998408834445562e-04 1.747871374031055277e-03
5.669291338582667095e-01 -8.000000000000000000e+00 -1.231923719038944707e-03 1.857336439905877580e-03
6.929133858267721990e-01 -8.000000000000000000e+00 -1.474078085300564115e-03 1.963038270306353104e-03
8.188976377952759123e-01 -8.000000000000000000e+00 -1.710883429904431780e-03 2.064558621822725013e-03
9.448818897637796255e-01 -8.000000000000000000e+00 -1.941398738090724385e-03 2.161506588662609214e-03
1.070866141732283339e+00 -8.000000000000000000e+00 -2.164729012192090005e-03 2.253520056177310809e-03
1.196850393700787052e+00 -8.000000000000000000e+00 -2.380030750201218848e-03 2.340268559734271035e-03
1.322834645669290765e+00 -8.000000000000000000e+00 -2.586517663258340160e-03 2.421454775604103479e-03
1.448818897637794478e+00 -8.000000000000000000e+00 -2.783465132984263082e-03 2.496816315438482852e-03
1.574803149606299968e+00 -8.000000000000000000e+00 -2.970214347446555134e-03 2.566126676528146175e-03
1.700787401574803681e+00 -8.000000000000000000e+00 -3.146175389053815826e-03 2.629196148354061551e-03
1.826771653543307394e+00 -8.000000000000000000e+00 -3.310829772545653693e-03 2.685872089847629509e-03
1.952755905511811108e+00 -8.000000000000000000e+00 -3.463732036133860843e-03 2.736039028776934834e-03
2.078740157480314821e+00 -8.000000000000000000e+00 -3.604510699555300412e-03 2.779618255697787789e-03
2.204724409448818534e+00 -8.000000000000000000e+00 -3.732868363298486643e-03 2.816567198198393750e-03
2.330708661417322247e+00 -8.000000000000000000e+00 -3.848581176404157998e-03 2.846878385150274689e-03
2.456692913385825960e+00 -8.000000000000000000e+00 -3.951497547522273175e-03 2.870578198057195142e-03
2.582677165354329674e+00 -8.000000000000000000e+00 -4.041536282495684050e-03 2.887725299318522065e-03
2.708661417322835163e+00 -8.000000000000000000e+00 -4.118684085888388476e-03 2.898408881997623695e-03
2.834645669291338876e+00 -8.000000000000000000e+00 -4.182992584384649139e-03 2.902746680235597336e-03
2.960629921259842590e+00 -8.000000000000000000e+00 -4.234574849105660413e-03 2.900882850496117136e-03
3.086614173228346303e+00 -8.000000000000000000e+00 -4.273601557360916237e-03 2.892985693871320471e-03
3.212598425196850016e+00 -8.000000000000000000e+00 -4.300296794838592840e-03 2.879245304672573089e-03
3.338582677165353729e+00 -8.000000000000000000e+00 -4.314933624121357857e-03 2.859871135102335076e-03
3.464566929133857442e+00 -8.000000000000000000e+00 -4.317829433260125284e-03 2.835089541376661221e-03
3.590551181102362932e+00 -8.000000000000000000e+00 -4.309341176155130800e-03 2.805141313138848763e-03
3.716535433070866645e+00 -8.000000000000000000e+00 -4.289860523053755197e-03 2.770279234598088842e-03
3.842519685039370358e+00 -8.000000000000000000e+00 -4.259809018524199353e-03 2.730765686380143276e-03
3.968503937007874072e+00 -8.000000000000000000e+00 -4.219633264014814762e-03 2.686870321425741982e-03
4.094488188976377785e+00 -8.000000000000000000e+00 -4.169800207782145204e-03 2.638867828020517638e-03
4.220472440944881498e+00 -8.000000000000000000e+00 -4.110792554248305503e-03 2.587035799517531289e-03
4.346456692913385211e+00 -8.000000000000000000e+00 -4.043104361265728759e-03 2.531652726247513637e-03
4.472440944881888925e+00 -8.000000000000000000e+00 -3.967236830018685580e-03 2.472996116477141609e-03
4.598425196850392638e+00 -8.000000000000000000e+00 -3.883694342592908071e-03 2.411340763667888572e-03
