 (2.686406243436622980e-03+0.000000000000000000e+00j)  (-3.640657846295199812e-02+0.000000000000000000e+00j)
 (2.741528322671695373e-03+0.000000000000000000e+00j)  (-7.274848859003413271e-02+0.000000000000000000e+00j)
 (3.712925040685933521e-03+0.000000000000000000e+00j)  (-7.661592199139639903e-02+0.000000000000000000e+00j)
 (3.249543292177776467e-03+0.000000000000000000e+00j)  (-9.540484140100494170e-02+0.000000000000000000e+00j)
 (2.345324023360309106e-03+0.000000000000000000e+00j)  (-1.061372647336518427e-01+0.000000000000000000e+00j)
 (2.036579085918597924e-03+0.000000000000000000e+00j)  (-1.105631328982446121e-01+0.000000000000000000e+00j)
 (1.850586159051353886e-03+0.000000000000000000e+00j)  (-1.136651190712349435e-01+0.000000000000000000e+00j)
 (1.730691162705148747e-03+0.000000000000000000e+00j)  (-1.156981150674898096e-01+0.000000000000000000e+00j)
 (1.600968963342045814e-03+0.000000000000000000e+00j)  (-1.171790439103319176e-01+0.000000000000000000e+00j)
 (1.510446989626390091e-03+0.000000000000000000e+00j)  (-1.195902755082018931e-01+0.000000000000000000e+00j)
 (1.423854679742237979e-03+0.000000000000000000e+00j)  (-1.212553365293657787e-01+0.000000000000000000e+00j)
 (1.336185485687046504e-03+0.000000000000000000e+00j)  (-1.235909233002354668e-01+0.000000000000000000e+00j)
 (1.256562709536105998e-03+0.000000000000000000e+00j)  (-1.256787544641572163e-01+0.000000000000000000e+00j)
 (1.239945923717189003e-03+0.000000000000000000e+00j)  (-1.275381636379729899e-01+0.000000000000000000e+00j)
 (1.223502897024590251e-03+0.000000000000000000e+00j)  (-1.291162465752894173e-01+0.000000000000000000e+00j)
 (1.219365780739526881e-03+0.000000000000000000e+00j)  (-1.304422195049686761e-01+0.000000000000000000e+00j)
 (1.216449775258059227e-03+0.000000000000000000e+00j)  (-1.315777322457962195e-01+0.000000000000000000e+00j)
 (1.173981555070324713e-03+0.000000000000000000e+00j)  (-1.325772595055127734e-01+0.000000000000000000e+00j)
 (1.098459727500757533e-03+0.000000000000000000e+00j)  (-1.334603506535586570e-01+0.000000000000000000e+00j)
 (1.031841029190401970e-03+0.000000000000000000e+00j)  (-1.341985718131928906e-01+0.000000000000000000e+00j)
 (1.390457620631090898e-04+0.000000000000000000e+00j)  (-1.372778321818596270e-01+0.000000000000000000e+00j)
 (2.111825675498825233e-04+0.000000000000000000e+00j)  (-1.386559592107028671e-01+0.000000000000000000e+00j)
 (4.787608816898807768e-04+0.000000000000000000e+00j)  (-1.381205499949535453e-01+0.000000000000000000e+00j)
 (5.021745555760150775e-04+0.000000000000000000e+00j)  (-1.383955841051362490e-01+0.000000000000000000e+00j)
 (4.579238422163428362e-04+0.000000000000000000e+00j)  (-1.391237966851336938e-01+0.000000000000000000e+00j)
 (4.292968836751986255e-04+0.000000000000000000e+00j)  (-1.392989992195527715e-01+0.000000000000000000e+00j)
 (5.639079640325371685e-04+0.000000000000000000e+00j)  (-1.394483164733686942e-01+0.000000000000000000e+00j)
 (4.801690341057052018e-04+0.000000000000000000e+00j)  (-1.407376851071552859e-01+0.000000000000000000e+00j)
 (4.139574514659886788e-04+0.000000000000000000e+00j)  (-1.405843559511251450e-01+0.000000000000000000e+00j)
 (2.878822786393275867e-04+0.000000000000000000e+00j)  (-1.409582399723706692e-01+0.000000000000000000e+00j)
 (3.460424211549956077e-04+0.000000000000000000e+00j)  (-1.409993720005531248e-01+0.000000000000000000e+00j)
 (2.610226390894499491e-04+0.000000000000000000e+00j)  (-1.408551754748682272e-01+0.000000000000000000e+00j)
 (2.993830182064789302e-04+0.000000000000000000e+00j)  (-1.407802534747071566e-01+0.000000000000000000e+00j)
 (3.347300015247113895e-04+0.000000000000000000e+00j)  (-1.411116414161479593e-01+0.000000000000000000e+00j)
 (2.520604979602858215e-04+0.000000000000000000e+00j)  (-1.408817323200703964e-01+0.000000000000000000e+00j)
 (2.922099313848708466e-04+0.000000000000000000e+00j)  (-1.412583391649669673e-01+0.000000000000000000e+00j)
 (2.302260830168278017e-04+0.000000000000000000e+00j)  (-1.410512318105161256e-01+0.000000000000000000e+00j)
 (2.143538175811967260e-04+0.000000000000000000e+00j)  (-1.414375281464497480e-01+0.000000000000000000e+00j)
 (1.798967851645691309e-04+0.000000000000000000e+00j)  (-1.413452889986906158e-01+0.000000000000000000e+00j)
 (2.193693365952693365e-04+0.000000000000000000e+00j)  (-1.417440315676173623e-01+0.000000000000000000e+00j)
 (2.142125385923302145e-04+0.000000000000000000e+00j)  (-1.412917752597507848e-01+0.000000000000000000e+00j)
